N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
106,한샘,"97,000",200,+0.21%,"1,000","22,828","23,534",23.21,"40,518",34.06,7.32,
107,하이트진로,"32,450",150,-0.46%,"5,000","22,758","70,134",10.15,"310,145",30.67,-3.86,
108,만도,"48,350","1,300",+2.76%,"1,000","22,704","46,957",24.81,"597,782",-40.94,7.55,
109,신세계,"230,500",0,0.00%,"5,000","22,693","9,845",26.06,"72,888",-7.41,14.24,
110,씨에스윈드,"129,500","1,000",+0.78%,500,"22,385","17,286",8.49,"228,683",42.75,9.92,
111,BGF리테일,"127,500","2,000",-1.54%,"1,000","22,037","17,284",31.34,"30,955",16.84,26.46,
112,팬오션,"4,110",10,+0.24%,"1,000","21,971","534,570",11.27,"1,483,464",16.25,5.49,
113,KODEX 200선물인버스2X,"3,195",15,-0.47%,0,"21,911","685,800",0.85,"116,431,810",N/A,N/A,
114,일진머티리얼즈,"46,850","1,950",+4.34%,500,"21,603","46,111",7.88,"724,516",48.60,8.52,
115,현대해상,"23,200",500,-2.11%,500,"20,741","89,400",40.25,"452,003",6.82,6.23,
116,오뚜기,"561,000","11,000",+2.00%,"5,000","20,600","3,672",16.16,"7,527",18.96,7.79,
117,현대차우,"84,400",300,+0.36%,"5,000","20,557","24,357",55.02,"65,614",20.17,N/A,
118,KODEX 단기채권,"102,565",5,0.00%,0,"19,970","19,471",3.08,"30,365",N/A,N/A,
119,한화,"26,350",100,-0.38%,"5,000","19,752","74,959",19.43,"296,850",10.74,2.09,
120,LS,"61,100",200,-0.33%,"5,000","19,674","32,200",11.88,"133,448",-848.61,0.80,
121,현대미포조선,"48,100",150,-0.31%,"5,000","19,212","39,942",12.59,"424,675",41.39,2.31,
122,BNK금융지주,"5,680",170,-2.91%,"5,000","18,513","325,935",44.42,"6,329,926",3.55,7.07,
123,한올바이오파마,"35,150",500,+1.44%,500,"18,363","52,241",6.96,"263,942",93.24,14.90,
124,한화생명,"2,100",20,-0.94%,"5,000","18,239","868,530",7.86,"3,927,018",10.82,0.51,
125,한솔케미칼,"159,500",0,0.00%,"5,000","18,016","11,295",35.67,"52,188",15.35,20.88,
126,두산인프라코어,"8,340",140,+1.71%,"5,000","18,007","215,912",4.36,"3,886,245",10.76,11.59,
127,종근당,"164,000","1,000",-0.61%,"2,500","17,853","10,886",14.34,"70,510",18.54,11.94,
128,메리츠화재,"14,700",300,-2.00%,500,"17,732","120,625",10.57,"510,700",4.75,12.80,
129,농심,"290,000","1,500",+0.52%,"5,000","17,640","6,083",18.64,"19,816",13.01,3.72,
130,KODEX 삼성그룹,"8,870",40,+0.45%,0,"17,536","197,700",0.02,"321,393",N/A,N/A,
131,녹십자홀딩스,"36,650",450,-1.21%,500,"17,236","47,028",5.96,"727,601",34.64,0.37,
132,현대로템,"15,650",0,0.00%,"5,000","17,081","109,142",3.54,"744,440",-8.89,-37.93,
133,현대오토에버,"81,000","2,300",+2.92%,500,"17,010","21,000",1.54,"115,792",29.59,11.71,
134,효성,"80,000",200,+0.25%,"5,000","16,857","21,071",5.70,"27,369",-37.51,4.25,
